GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_OVERIG
;;;288288;180413.48;49431000.68;10192092.75;13192398.59;3602340.83;1262392.42;2409436.24;2374210.98;1218056.81;483173.22;202274.2;210328.9;1514941.51;1318707.25;1041069.73;246510.28;6617255.4;377.54;709996.45
M; 0 t/m  4 jaar;AA EN HUNZE;529;476.33;407100.1;37469.66;90546.89;25020.27;12343.58;28318.36;30408.54;9687.19;13918.33;9556.85;14830.5;4310.67;0;0;302;1213.59;27.52;37.74
M; 0 t/m  4 jaar;AALSMEER;974;893.2;766904.75;69600.14;33537.04;47630.5;28176.56;67940.91;27023.88;21705.15;21979.03;26404.66;4506.6;9691.5;0;0;0;9435.91;15.91;9976.52
M; 0 t/m  4 jaar;AALTEN;744;676.43;701966.95;53977.59;10662.28;36419.79;19830.13;37974.06;24637.02;15040.21;20034.49;34002.94;7243.32;7767.42;0;0;63.2;1946.93;3.01;20
M; 0 t/m  4 jaar;ACHTKARSPELEN;876;792.24;923987.59;55378.07;32897.14;42321.37;20571.54;46562.23;29194.94;19528.67;22114.38;17643.72;3233.04;24086.82;0;0;276;53.04;1013.08;59.25
M; 0 t/m  4 jaar;ALBLASSERDAM;662;602.82;927052.71;82370.97;21547.36;32176.1;17729.07;28242.12;31792.61;9045.59;30455.04;26951.87;398.28;8673.35;0;0;496;2359.11;0;34.8
M; 0 t/m  4 jaar;ALBRANDSWAARD;796;725.13;742368.9;90916.58;26313.7;38886.31;23333.68;39347.17;21849.3;13742.74;20648.36;19220.72;974.7;11545.78;0;0;44;4771.55;2.58;84.33
M; 0 t/m  4 jaar;ALKMAAR;3041;2716.86;3213446.87;212328.05;116608.65;142527;75687.65;163239.37;76962.42;46166.83;60598.64;47491.46;4722.6;41979.94;0;0;575;7425.63;41.28;441.05
M; 0 t/m  4 jaar;ALMELO;2023;1831.06;2275519.56;264842.11;68074.03;98433.22;52112.98;147877.54;85190.95;35097.32;66137.84;69482.47;8639.25;32010.88;0;0;651;5007.47;22.36;777.84
M; 0 t/m  4 jaar;ALMERE;6534;5885.34;7363167.88;676126.88;270799.27;311342.94;177402.84;423492.6;256325.92;172414.84;112038.69;194778.47;3908.34;104115.5;0;0;3262.5;25454.38;156.52;195870.71
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;3192;2874.47;2915911.72;274843.27;52685.03;152343.82;89638.05;259351.04;95047.79;45935.38;100778.28;85263.26;1490.54;36151.1;0;0;1751.9;8244.07;39.56;27458.8
M; 0 t/m  4 jaar;ALPHEN-CHAAM;241;219.03;256448.1;26617.33;5913.56;11429.02;6440.46;9098.91;12089.84;5190.49;8065.67;5691.02;1721.4;6049.07;0;0;0;585.19;3.44;0
M; 0 t/m  4 jaar;ALTENA;1618;1471.56;1271087.66;146493.35;27821.01;78486.31;42994.3;68986.31;48742.09;31909.13;46011.44;66520.88;12349.06;9933.7;0;0;1455.5;2029.08;11.61;45.48
M; 0 t/m  4 jaar;AMELAND;102;91.94;68311.53;8107.57;0;4847.59;2129.15;7567.02;10874.54;983.8;958.15;1739.29;0;2044.22;0;0;0;994.87;103.2;27.5
M; 0 t/m  4 jaar;AMERSFOORT;5202;4688.24;4088975.45;395424.12;67599.38;250351.65;135681.79;361855.45;120829.41;92199.8;84855.77;133167.46;8802.15;62620.01;0;0;2090;16211.16;100.62;3920.57
M; 0 t/m  4 jaar;AMSTELVEEN;2352;2097.07;1711488.55;186734;57194.9;109878.06;54382.2;162180.72;53027.9;46015.27;43878.94;67787.7;2.1;26415.59;0;0;246;19810.56;38.7;19231.08
M; 0 t/m  4 jaar;AMSTERDAM;25595;22486.52;28076884.76;1920963.28;1381060.84;1191473.92;644791.71;1396557.51;772799.5;562450.85;338068.94;830853.93;22404.74;319005.46;0;0;7631.8;260670.34;335.4;374007.5
M; 0 t/m  4 jaar;APELDOORN;4201;3812.92;3437542.3;363942.59;74740.68;202028.4;99383.05;239294.34;192717.02;66621.73;68072.24;123127.83;400;45312.38;0;0;1808.8;15862.89;74.82;6269.17
M; 0 t/m  4 jaar;APPINGEDAM;282;247.84;463917.64;28050.66;8316.9;13094.57;7067.9;14254.48;2487.69;5249.52;7972.63;18679.69;398.4;7754.68;0;0;0;230.13;9.03;89.1
M; 0 t/m  4 jaar;ARNHEM;4692;4187.48;4981305.46;448622.21;42273.93;224341.67;125513.87;325187.68;135237.21;86112.43;191580.96;201950.43;11777.74;84689.95;0;0;1163;9992.61;58.05;23548.2
M; 0 t/m  4 jaar;ASSEN;1991;1800.75;1653894.73;175059.31;224288.5;96755.07;50504.04;128919.99;69443.37;28998.26;79294.37;49517.58;446.7;19682.71;0;0;31270.92;899.93;128.57;13528.48
M; 0 t/m  4 jaar;ASTEN;417;381.67;357167.58;25691.22;8216.35;20521.93;11594.32;17801.06;3580.42;7757.84;36318.75;18659.61;2254.8;3861.01;0;0;0;104.12;0;0
M; 0 t/m  4 jaar;BAARLE-NASSAU;152;132.64;76495.33;6780.6;12936.03;6666.81;4165.99;5044.1;3653.74;1824.93;2721.89;2455.26;0;753.73;0;0;0;16234.51;0;17.22
M; 0 t/m  4 jaar;BAARN;640;580.27;584752.65;68261.13;1124.03;30791.36;17064.64;38398.25;11344.67;8766.19;12577.36;25021.5;2536.53;7468.94;0;0;0;427.12;12.9;101.9
M; 0 t/m  4 jaar;BARENDRECHT;1532;1379.53;1713575.39;194527.24;50180.29;72678.39;42196.59;78643.99;58007.28;21671.58;40687.73;46587.67;12434.03;14538.48;0;0;568;9562.31;18.06;1148.65
M; 0 t/m  4 jaar;BARNEVELD;1980;1790.68;1231138.33;116082.01;14983.88;95000.52;45526.19;99711.7;75695.19;46555.72;62095.3;46744.52;4715.86;19626.23;0;0;220;5481.24;12.47;1537.78
M; 0 t/m  4 jaar;BEEK;311;269.06;439773.23;22626;8177.6;14336.69;8781.5;17497.54;8359.15;2825;6727.78;15625.27;2780.28;1649.62;0;0;0;1302.66;7.74;9.76
M; 0 t/m  4 jaar;BEEKDAELEN;706;634.52;825152.13;54601.44;3277.56;33082.7;21927.74;39663.95;35005.79;12925.29;11702.45;52251.97;2025.36;3908.62;0;0;425;3861.53;1.72;542.7
M; 0 t/m  4 jaar;BEEMSTER;215;195.64;129723.24;7710.97;665.43;10482.18;4842.17;9804.97;5607.84;2077.04;3750.89;3142.79;0;1373.87;0;0;0;70;6.88;0
M; 0 t/m  4 jaar;BEESEL;333;299.02;489821.62;26285.05;31011.92;15914.95;10075.05;19476.94;12381.09;6348.65;21280.76;14064.31;0;4543.93;0;0;0;1.28;0;35.92
M; 0 t/m  4 jaar;BERG EN DAL;703;640.45;481322.53;40673.24;21107.61;34139.63;18074.29;45007.38;15059.66;13147.95;27955.37;15556.97;0;2648.2;0;0;379;1451.57;6.45;125.51
M; 0 t/m  4 jaar;BERGEIJK;431;394.66;430997.24;55203.7;2097.09;20913.27;14532.22;23698.68;21434.95;7149.37;14325.3;19751.77;0;6892.53;0;0;252;987.46;0;0
M; 0 t/m  4 jaar;BERGEN LB;287;254.94;181494.16;18185.84;29828.72;13341.35;8151.17;16168.96;11106.23;5071.55;10714.51;18512.31;0;1050.65;0;0;0;43.65;0;30.66
M; 0 t/m  4 jaar;BERGEN NH;495;458.98;641582.71;32959.64;2878.97;24244.19;10553.1;18987.84;31666.04;11473.68;14566.2;6111.54;4923.76;7550.06;0;0;0;2259.85;3.87;53.59
M; 0 t/m  4 jaar;BERGEN OP ZOOM;1673;1508.18;1832088.34;191645.35;37086.04;79949.54;52157.24;130054.66;71630.41;24507.24;50270.27;60365.8;16477.38;19978.36;0;0;1562;20209.6;12.04;4734.18
M; 0 t/m  4 jaar;BERKELLAND;1088;1001.63;1079495.24;93977.74;15714.5;54177.57;28900.1;55611.79;17920.03;15541.82;27895.1;59496.45;649.68;23947.69;0;0;1262.2;1273.2;10.75;100.22
M; 0 t/m  4 jaar;BERNHEZE;810;733.81;863074.38;83291.06;8578.09;39129.97;26875.91;47937.75;17076.61;15636.71;20203.81;32762.82;8128.98;17782.93;0;0;285;1816.8;9.89;31.22
M; 0 t/m  4 jaar;BEST;742;666.21;580498.88;57635.06;8457.48;35806.34;25511;40058.72;31851.95;10469;16528.64;23449.21;0;4487.07;0;0;59.5;2547.54;3.44;45.98
M; 0 t/m  4 jaar;BEUNINGEN;607;545.89;649794.82;49881.29;13222.03;29127.45;16835.65;36917.34;42817.14;25801.24;31926.91;30399.99;2451.12;11001.76;0;0;155;693.73;5.16;110.44
M; 0 t/m  4 jaar;BEVERWIJK;1212;1083.26;1588655.51;78650.73;41557.51;56625.27;31130.09;71487.46;16461.35;25598.73;22442.11;23638.56;1753.8;18790.21;0;0;95.6;2731.48;25.37;228.16
M; 0 t/m  4 jaar;BLADEL;505;454.74;353225.62;25617.31;882.99;24262.01;14444.42;28169.12;10164.33;7649.27;8713.73;12094.09;0;1203.85;0;0;686;22967.11;3.44;0
M; 0 t/m  4 jaar;BLARICUM;172;156.51;108968.42;20659.7;3120.92;8451.85;4586.55;10791.89;4342.97;3233.67;2656.54;6131.77;0;1101.83;0;0;0;261.3;0;188.98
M; 0 t/m  4 jaar;BLOEMENDAAL;453;419.49;320989.27;31260.3;14669.45;22611.33;10145.95;21020.69;7853.96;7352.3;5767.14;5946.1;0;4087.31;0;0;171;742.03;6.88;321.43
M; 0 t/m  4 jaar;BODEGRAVEN-REEUWIJK;966;876.82;774139.37;94287.73;16942.63;47106.84;25402.86;54197.61;21800.95;18393.49;27370.13;28444.62;900.3;9954.77;0;0;1313.5;11484.73;12.04;157.48
M; 0 t/m  4 jaar;BOEKEL;270;245.65;197812.48;13000.7;951.12;12936.22;7389.03;13456.8;4773.85;5935.2;5492.61;10156.77;0;1434.91;0;0;0;100.06;0;0
M; 0 t/m  4 jaar;BORGER-ODOORN;552;501.83;417895.75;51313.46;65875.12;26543;14750.4;30147.83;12001.28;8922;12742.1;20307.41;849.6;4963.98;0;0;0;262.89;20.21;52.54
M; 0 t/m  4 jaar;BORNE;636;582.45;568623.16;60374.12;5903.47;31364.21;18035.28;35873.9;22002.43;9652.49;22354.81;18979.47;1300.98;5586.39;0;0;952;1946.77;17.2;0.99
M; 0 t/m  4 jaar;BORSELE;645;591.17;554692.04;44770.05;26567.02;30426.66;14799.02;30367.97;17406.24;10003.15;19101.48;13838.79;0;4822.53;0;0;240.5;29312.26;0;31.12
M; 0 t/m  4 jaar;BOXMEER;651;597.33;449275.69;64477.96;5881.42;31817.84;17257.74;42635.49;34164.03;16292.87;29134.2;24068.54;8704.78;1498.26;0;0;665;1142.45;5.16;91.37
M; 0 t/m  4 jaar;BOXTEL;798;729.08;660070.22;65246.24;9157.93;39137.77;23637.57;30663.47;36654.86;23068.35;28479.4;33014.2;3216.6;2153.95;0;0;664;1436.89;7.31;3230.35
M; 0 t/m  4 jaar;BREDA;5013;4529.79;4797158.31;411027.18;78852.34;240517.43;137307.87;226852.23;161674.96;88300.47;183840.24;167367.49;2643.72;38104.74;0;0;2105;23155.49;47.3;210.13
M; 0 t/m  4 jaar;BRIELLE;337;302.62;436660.81;29547.76;25419.59;16155.56;8732.21;16717.86;3032.81;3201.23;9256.06;10940.62;0;4914.78;0;0;0;631.76;3.01;62.59
M; 0 t/m  4 jaar;BRONCKHORST;751;694.21;535697.01;62806.99;1005.37;37523.42;19281.38;44177.72;16323.56;11693.29;32731.18;20263.06;0;6497.55;0;0;2079.05;2201.99;6.88;21.44
M; 0 t/m  4 jaar;BRUMMEN;454;409.58;498951.51;35255.62;2894.48;21838.23;11405.56;27379.69;13010.11;4686.83;8134.75;13622.1;913.5;9378.48;0;0;83.2;2016.3;1.29;69.6
M; 0 t/m  4 jaar;BRUNSSUM;652;588.75;967082.1;114410.37;12640.57;30608.97;17903.36;40710.4;47539.7;11735.79;15148.53;32827.75;702.6;10712.02;0;0;0;15549.61;3.44;2072.14
M; 0 t/m  4 jaar;BUNNIK;414;378.54;327272.21;39261.45;5970.36;20006.29;9570.53;22620.28;8707.61;6738.94;10033.62;20495.36;0;4863.82;0;0;246;841.17;6.88;269.36
M; 0 t/m  4 jaar;BUNSCHOTEN;711;639.08;841212.27;93476.77;15398.42;33416.24;23756.87;44302.34;14890.27;20013.6;20540.93;39995.49;4117.35;8811.18;0;0;857;1338.17;11.61;41.73
M; 0 t/m  4 jaar;BUREN;661;601.05;539561.48;53714.79;12337.63;32103.06;16691.44;37285.53;11346.91;12506.69;10796.71;25124.38;0;10526.59;0;0;843.2;553.05;10.32;758.9
M; 0 t/m  4 jaar;CAPELLE AAN DEN IJSSEL;1904;1712.85;2017296.44;173246.65;66509.47;90144.06;54750.83;125124.25;58123.91;26113.59;25206.86;44117.49;3143.27;20147.67;0;0;325;3392.8;12.04;4890.05
M; 0 t/m  4 jaar;CASTRICUM;717;657.7;582646.73;39092.38;4990.38;35050.73;20065.89;27488.5;12304.74;7106.75;14162.72;14005.74;0;8983.48;0;0;0;3919.57;18.92;9.03
M; 0 t/m  4 jaar;COEVORDEN;906;826.6;1006829.24;78817.39;107919.7;44050.53;26502.23;63727.55;67373.8;17699.87;29919.38;26959.39;7852.21;8969.17;0;0;130;75.09;35.26;193.11
M; 0 t/m  4 jaar;CRANENDONCK;516;463.75;446363.52;49741.81;7191.59;24312.84;15097.87;28154.89;12538.99;6776.63;9490.83;25587.46;1414.2;4234.51;0;0;249;24511.71;1.72;0
M; 0 t/m  4 jaar;CUIJK;629;567.05;396936.63;47699.28;5817.98;30097.62;16897.71;40909.24;29291.8;11562.72;30481.55;22210.34;2437.08;11279.81;0;0;63;1363.12;13.76;73.95
M; 0 t/m  4 jaar;CULEMBORG;826;743.29;631171.63;57632.2;9573.57;37672.48;20062.34;47748.01;16981.19;14843.22;30444.99;29685.61;0;11731.62;0;0;130;1116.8;12.04;265.43
M; 0 t/m  4 jaar;DALFSEN;741;668.94;530050.36;24756.65;20814.93;36131.1;15408.9;37461.47;27433.41;12037.77;19510.58;31754.26;7599.3;1563.44;0;0;0;286.05;9.46;0
