GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
;;;282385;185399.69;50079796.1;9535515.71;10414756.2;4058295.33;1345209.26;2678618.67;2080662.04;1295312.56;450114.79;318160.22;169763.29;1340580.52;1278962.7;1140845.4;228208.31;16601343.83;448.49;401202.99;816030.54
M; 0 t/m  4 jaar;AA EN HUNZE;509;471.73;475661.09;41284.02;53860.36;25483.43;11667.94;27654.28;19938.71;10510.69;12067.85;11007.13;0;4446.93;0;0;870;336.3;29.67;0;80.96
M; 0 t/m  4 jaar;AALSMEER;906;826.87;493023.2;67375.12;22864.68;44577.03;24482.93;57925.81;6494.37;15777.86;20346.86;22656.48;0;3541.01;0;0;387;10838.19;15.48;0;8410.85
M; 0 t/m  4 jaar;AALTEN;701;642.61;569090.67;46730.14;418.6;35236.64;18588.65;39636.58;14767.51;15093.91;22906.93;32378.88;4940.34;6005.19;0;0;505.6;2018.93;5.16;0;46.61
M; 0 t/m  4 jaar;ACHTKARSPELEN;847;764.51;1474975.94;87916.97;61921.73;41374.6;19884.12;49597.74;31280.28;14197.46;23602.91;32242.54;0;20778.51;0;0;122;912.34;948.15;0;181.07
M; 0 t/m  4 jaar;ALBLASSERDAM;629;570.08;1154982.5;134058.32;26598.86;30681.89;17364.64;26341.95;42454.96;11236.11;27158.13;28095.49;315.4;16284.67;0;0;0;538.6;5.16;0;140.64
M; 0 t/m  4 jaar;ALBRANDSWAARD;751;689.01;670623.38;87052.1;12834.55;37436.23;21011.33;38649.87;18185.88;9486.27;22431.81;32406.69;609.94;7889.06;0;0;0;1755.6;1.72;0;125.72
M; 0 t/m  4 jaar;ALKMAAR;3024;2728.64;2852375.85;257169.32;67107.79;145483.66;70567.88;160838.21;55110.74;66908.84;67131.02;58566.18;3378.58;57785.63;0;0;870.25;15831.85;43;0;447.67
M; 0 t/m  4 jaar;ALMELO;1958;1773.1;2601830.25;236250.63;59711.17;96171.95;51732.98;153542.04;51419.64;33700.38;70155.01;77855.08;6274.92;43957.26;0;0;325;851.5;26.23;0;1239.66
M; 0 t/m  4 jaar;ALMERE;6354;5724.16;7953906.46;716692.32;165847.31;306736.52;167702.7;407291;259649.74;167200.58;106733.16;205940.7;6672.41;102291.91;0;0;2379.2;19783.3;166.84;0;155425.94
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;3140;2831;3055261.9;279360.29;39246.94;153249.15;82521.7;236118.24;86553.87;50287.49;88227.01;85134.79;2523.98;42800.68;0;0;885;9689.01;43.43;0;42727.38
M; 0 t/m  4 jaar;ALPHEN-CHAAM;243;223.58;205853.56;19617.14;0;11999.02;6694.25;9622.39;6048.51;3522.2;10721.46;6915.22;2025.26;1138.17;0;0;0;828.29;2.15;0;0
M; 0 t/m  4 jaar;ALTENA;1531;1387.17;1553136.25;90271.64;8918.64;74018.65;39282.42;65403.56;24112.84;27657.41;43130.55;65031.79;10843.12;18967.16;0;0;234;5187.51;15.05;0;71.49
M; 0 t/m  4 jaar;AMELAND;100;88.72;84560.01;10780.63;2146.08;4612.9;2228.3;5346.12;9926.48;1104.92;985.37;485.03;0;1111.64;0;0;0;454.8;93.31;0;27.52
M; 0 t/m  4 jaar;AMERSFOORT;5030;4547.32;4965598.95;326594.74;44532.76;244775.68;131025.97;338677.38;99976.9;98041;94242.9;148748.25;0;54572.81;0;0;1985;21557.68;110.51;0;5946.62
M; 0 t/m  4 jaar;AMSTELVEEN;2352;2079.53;2220400.52;165292.85;94471.4;110086.83;54182.51;159089.73;43788.57;52395.25;51809.56;69303.3;252.51;30135.83;0;0;335;20568.57;26.66;0;25680.93
M; 0 t/m  4 jaar;AMSTERDAM;25590;22535.51;27263859.33;1871041.27;1180160.72;1210170.5;639607.47;1584627.15;692772.2;625295.64;376248.68;907019.37;23264.24;350589.09;0;0;9599.43;233454.29;388.72;0;224070.53
M; 0 t/m  4 jaar;APELDOORN;4159;3730.74;4072960.42;343961.48;96519.22;200063.46;93740.47;250134.74;120767.06;67746.08;62784.14;119759.74;928;44209.34;0;0;2296.5;17954.49;63.64;0;7049.38
M; 0 t/m  4 jaar;APPINGEDAM;272;246.74;226740.73;20171.88;9956.1;13371.75;7661.08;16612.59;14108.75;4826.13;11020.21;8490.94;0;1429.16;0;0;0;0;7.74;0;3175.8
M; 0 t/m  4 jaar;ARNHEM;4576;4086.78;5675085.87;411288.04;58490.11;221424.92;120107.9;344404.58;118405.92;65408.26;170672.6;196972.46;3124.25;96042.5;0;0;1614.4;14020.98;62.35;0;23793.3
M; 0 t/m  4 jaar;ASSEN;1920;1738.79;1384332.3;139194.08;205994.98;94443.29;48218.34;135359.04;38321.09;28881.39;56803.51;59400.69;0;19901;0;0;597.2;2218.07;145.77;0;15823
M; 0 t/m  4 jaar;ASTEN;398;352.98;537571.79;33079.81;8693.48;19031.75;10778.57;17434.02;9788.88;6208.04;29148.41;15549.2;2996.35;7597.08;0;0;0;1369.61;0;0;38.62
M; 0 t/m  4 jaar;BAARLE-NASSAU;142;125.39;107645.18;6682.04;0;6669.34;3707.01;6388.56;1428.14;1668.82;1502.64;2559.07;0;2034.92;0;0;540;3289.87;0;0;15.36
M; 0 t/m  4 jaar;BAARN;615;560.13;490666.47;47291.81;8842.55;30013.72;15378.82;36004.98;22168.12;11818.73;9752.93;21486.68;4177.61;7330.45;0;0;382.88;2637.18;16.34;0;172.38
M; 0 t/m  4 jaar;BARENDRECHT;1452;1310.88;1847923.91;120059.64;34933.06;70647.85;37702.82;77431.45;30449.89;22600.95;42582.75;43158.16;7261.37;28650;0;0;342;6764.02;17.2;0;939.21
M; 0 t/m  4 jaar;BARNEVELD;2022;1810.92;1577518.04;133699.12;23622.44;98186.31;43519.94;114223.43;41972.67;37417.98;55060.47;41146.95;6725.27;25903;0;0;129;3524.36;25.8;0;1966.11
M; 0 t/m  4 jaar;BEEK;304;278.11;467911.97;31177.03;7558.81;15217.53;7947.67;15396.39;8313.09;5534.27;10487.59;13840.97;0;4257.28;0;0;60;2315.51;6.45;0;0
M; 0 t/m  4 jaar;BEEKDAELEN;696;639.87;657842.87;64873.69;14395.16;34455.07;18712.77;34291.66;14576.22;11191.46;19623.03;37337.37;4385.24;6757.22;0;0;635;1011.47;3.44;0;504.54
M; 0 t/m  4 jaar;BEEMSTER;223;204.02;156597.47;17081.34;0;10994.55;5098.48;12284.75;5172.06;3008.82;2375.36;3409.69;0;2274.62;0;0;0;288.55;1.72;0;95.44
M; 0 t/m  4 jaar;BEESEL;330;299.72;524287.61;38195.76;59053.18;16272.5;10116.67;22645.77;4272.37;7440.92;15233.31;13268.06;0;9792.68;0;0;0;258.31;3.01;0;25.56
M; 0 t/m  4 jaar;BERG EN DAL;705;633.17;852400.89;45324.69;17888.92;34261.84;18171.18;38103.21;9166.75;16151.77;24223.94;23243.62;0;12220.06;0;0;691;1964.82;10.32;0;120.11
M; 0 t/m  4 jaar;BERGEIJK;400;362.85;255900.49;55342.81;21441.96;19456.25;13641.18;21876.87;17009.52;8524.35;13456.81;21108.12;0;3197.65;0;0;240;2787.89;0;0;64.36
M; 0 t/m  4 jaar;BERGEN LB;266;246.8;163252.28;24172.12;56613.34;13286.85;7930.08;17745.24;5165.07;4651.48;16820.65;21412.77;0;2973.67;0;0;0;555.62;0;0;34.56
M; 0 t/m  4 jaar;BERGEN NH;473;431.9;312066.55;35861.97;0;22809.62;9256.85;17321.63;26614.01;10538.69;11808.15;7094.52;4785.72;6579.11;0;0;0;638.91;5.59;0;74
M; 0 t/m  4 jaar;BERGEN OP ZOOM;1669;1482.08;2090577.59;192912.72;22996.41;79883.68;48170.56;126535.95;54799.52;23370.92;42854.06;71445.91;4679;26424.73;0;0;636.4;41555.01;12.04;0;4851.43
