GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
;;;358232;197303.08;47946026.8;8531257.58;7748354.52;4034157.32;1301636.25;798637.16;3463082.95;1738791.5;1136746.48;403796.01;298149.08;137990.02;1891648.72;928905.82;851305.1;526191.06;120330.77;38545206.38;789.6;296467.69;992831.47;640590.35
M; 0 t/m  4 jaar;AA EN HUNZE;487;441.17;378067.23;27506.42;0;25336.44;12915.78;1132.84;35113.43;2959.9;15000.07;16893.04;14321.68;437.6;4926.83;0;0;0;0;541.96;22.56;0;0;6009.11
M; 0 t/m  4 jaar;AALSMEER;805;729.18;801923.05;78606.42;0;41578.58;22775.99;3973.11;56073.75;9142.71;28916.34;16580.55;19228.32;0;15798.85;0;0;0;0;5415.82;23.97;0;753.12;9265.91
M; 0 t/m  4 jaar;AALTEN;619;564.43;635996.59;62709.93;0;32663.21;17124.92;204.76;36137.28;31627.28;10729.89;25039.43;23823.34;3680.72;8720.48;0;0;0;0;823.61;7.52;0;23966;51384.08
M; 0 t/m  4 jaar;ACHTKARSPELEN;757;684.08;1075871.94;66641.03;0;38111.26;18972.11;33.84;60734.5;20159.06;15271.59;27082.34;39029.84;17177.65;14526.57;0;0;0;0;129.9;869.5;0;98187.84;121614.39
M; 0 t/m  4 jaar;ALBLASSERDAM;627;567.81;760028.43;88236.26;0;32261.96;17634.82;685.76;34689.27;28478.92;11486.95;27720.09;17231.75;1742.16;14989.58;0;0;0;0;1447.24;5.17;0;139269.6;50180.75
M; 0 t/m  4 jaar;ALBRANDSWAARD;692;631.34;814930.86;80075.66;0;36029.36;19575.17;786.56;41352.02;27147.01;12110.27;19908.8;46254.22;4833.17;10139.24;0;0;0;0;3470.59;3.76;0;2581.72;127253.24
M; 0 t/m  4 jaar;ALKMAAR;2832;2525.35;3361436.59;181252.87;0;142596.49;70667.09;404.06;170565.77;61331.95;69558.21;83043.47;111707.63;4654.04;67984.74;0;0;0;0;70014.49;71.91;0;123774.06;264663.35
M; 0 t/m  4 jaar;ALMELO;1813;1644.83;1971553;170642.15;0;95526.8;52027.22;161;167510.34;23664.74;36222.02;56173.36;119896.02;2294.52;30053.26;0;0;0;0;1700.09;38.54;0;63225.22;288356.84
M; 0 t/m  4 jaar;ALMERE;6231;5615.37;8907799.17;601736.84;0;316783.4;184026.19;105303.5;452766.09;212962.27;192823.96;119410.91;280687.37;38944.12;127377;0;0;0;0;20051.97;228.42;0;627564.64;982818
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2916;2623.25;3438865.56;283598.73;0;150426.29;79659.84;48171.7;296091.32;68621.8;71304.95;92764.41;114316.35;16990.72;68241.07;0;0;0;0;22973.42;47.47;0;58525.92;253127.16
M; 0 t/m  4 jaar;ALPHEN-CHAAM;222;194.1;169924.23;12049.17;0;10927.71;6079.28;14.3;10201.51;957.34;3535.95;8866.58;5718.4;1216;1543.98;0;0;0;0;710.29;6.58;0;147.56;46746.13
M; 0 t/m  4 jaar;ALTENA;1535;1382.63;1725867.17;110051.56;0;78697.5;43399.02;111.06;92170.88;44866.69;33621.06;54929.46;89681.31;12596.71;27402.47;0;0;0;0;1898.56;20.21;0;123932.86;200593.28
M; 0 t/m  4 jaar;AMELAND;100;89.67;140819.27;8760.36;0;4976.41;1740.13;18.75;6698.19;553.16;1643.58;3433.52;1261.42;553.8;544.49;0;0;0;0;0;94.47;0;81;0
M; 0 t/m  4 jaar;AMERSFOORT;4595;4122.5;6542117.04;336274.41;0;235469.37;132446.66;27266.57;358556.16;109428.61;106206.64;138826.85;200414.38;25652.54;75145.88;0;0;0;0;32973.97;163.09;0;493685.34;700167.59
M; 0 t/m  4 jaar;AMSTELVEEN;2477;2193.38;2180022.24;196550.34;0;122648.81;61938.83;25073.7;175639.64;101133.6;67877.48;94050.52;97974.9;7683.72;47925.4;0;0;0;0;14039.83;56.4;0;492700.68;313660.65
M; 0 t/m  4 jaar;AMSTERDAM;24157;21010.11;31326800.79;1964642.62;0;1189770.94;679516.01;150198.6;1731283.15;611392.99;718687.22;594694.73;1209199.55;74751.17;497709.69;0;0;0;0;235683.01;563.06;0;1965342.93;2972023.24
