GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_EERSTELIJNSVERBLIJF;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
;;;381255;203806.93;52125914.01;8429654.45;6433288.88;4024484.27;1343699.97;779022.42;3801222.83;1684645.67;1043829.35;382720.78;266295.05;144730.77;2184224.44;911922.95;932250.79;524260.82;6543.6;37216660.74;729.91;373201.82;72152.6;842653.89;547579.26
M; 0 t/m  4 jaar;AA EN HUNZE;490;446.33;556070.27;27834.21;0;26758.56;14555.2;1408.19;33353.73;3905.82;16364.16;21447.32;12981.71;7502.2;8922.41;0;0;0;0;303.34;17.39;0;0;883.44;55520.82
M; 0 t/m  4 jaar;AALSMEER;792;718.7;688704.23;90831.25;0;42546.17;26150.51;4911.53;65278.11;23545.57;23519.88;22987.27;25013.18;1419.7;21669.88;0;0;0;0;1565.23;22.56;0;0;161603.77;20309.31
M; 0 t/m  4 jaar;AALTEN;610;557.16;626364.01;45186.28;0;33541.98;17896.7;2777.47;42330.04;14828.7;13475.69;26146.2;26813.73;3333.2;7157.05;0;0;0;0;895.36;6.58;0;0;8035.54;34237.7
M; 0 t/m  4 jaar;ACHTKARSPELEN;730;659.29;863293.78;71397.96;0;37980.9;18251.06;21.79;61158.5;17356.31;18829.39;18654.88;38697.4;1239.2;16593.23;0;0;0;0;414;767.98;0;0;8919.6;47002.39
M; 0 t/m  4 jaar;ALBLASSERDAM;632;569.5;1404292.06;92648.43;0;33815.07;17584.92;547.14;36464.12;32070.78;17402.56;28882.02;24023.55;8007.66;14769.15;0;0;0;0;837.12;6.11;0;0;24686.59;71060.69
M; 0 t/m  4 jaar;ALBRANDSWAARD;665;599.85;708573.4;74102.84;0;35747.12;19032.91;751.7;43313.2;23948.07;13458.87;16650.7;32527.88;2543.85;6975.06;0;0;0;0;1211.91;0.47;0;0;8642.44;76529.88
M; 0 t/m  4 jaar;ALKMAAR;2802;2495.6;3478459.18;227749.31;0;149483.49;75721;590.4;186025.87;54468.13;73368.12;89983.69;91918.17;9091.98;72440.16;0;0;0;0;80259.18;60.16;0;0;105596.66;228666.45
M; 0 t/m  4 jaar;ALMELO;1782;1620.36;2203650.01;148370.59;0;99608.69;54949.49;14448.21;177281.24;45270.73;37228.37;59231.03;123906.17;8080.72;27760.4;0;0;0;0;8925.1;23.97;0;0;217001.98;415280.58
M; 0 t/m  4 jaar;ALMERE;6337;5678.64;8828465.46;574958.64;0;331768.04;196342.31;104616.51;516743.95;188344.14;211886.24;110890;338972.73;19849.71;132070.3;0;0;0;0;54189.18;174.37;0;0;545164.31;891785.71
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2875;2580.88;3337584.3;304986.24;0;155200.6;88436.84;51954.25;297783.1;84297.62;79729.32;101420.37;113302.87;15665.5;55527.79;0;0;0;0;9284.79;43.24;0;0;69532.32;297661.81
M; 0 t/m  4 jaar;ALPHEN-CHAAM;247;215.78;353539.53;12602.55;0;12648.68;7498.24;48.56;12419.18;3128.41;3604.63;5608.5;9385.06;560.2;5843.35;0;0;0;0;1059.19;7.05;0;0;3719.25;12408.14
M; 0 t/m  4 jaar;ALTENA;1544;1394.42;2179269.07;126164.96;0;82895.43;47541.12;141.28;101532.3;40251.31;36588.91;50559.29;84731.56;16846.66;25104.02;0;0;0;0;9982.8;17.86;0;0;136358.57;160386.18
M; 0 t/m  4 jaar;AMELAND;93;85.43;45720.73;9590.23;0;4939.08;2239.18;20.24;6866.13;348.22;1175.66;707.2;225.87;0;878.29;0;0;0;0;0;91.65;0;0;0;0
M; 0 t/m  4 jaar;AMERSFOORT;4548;4071.87;6042845.14;354016.47;0;239082.49;135633.26;28943.98;396240.82;160001.32;112987.42;130690.49;198301.91;18292.96;73454.52;0;0;0;0;26707.55;111.86;0;0;608372.2;658287.25
M; 0 t/m  4 jaar;AMSTELVEEN;2389;2101.89;2973240.12;232242.59;0;122205.57;63503.84;23731.26;191550.26;73402.38;73252.72;93122.17;87005.65;19372.74;43710.69;0;0;0;0;13108.14;35.72;0;0;355534.7;311457.97
M; 0 t/m  4 jaar;AMSTERDAM;23967;20868.02;28854894.78;1898121.08;0;1295254.22;718573.72;141814.41;1893945.92;557984.68;772250.46;522027.51;1094769.23;41686.26;496819.23;0;0;0;0;236388.86;424.88;0;0;1312492.45;3006208.83
M; 0 t/m  4 jaar;APELDOORN;4008;3637.27;4691784.92;331645.05;0;215664.67;106276;12465.97;299600.46;89805.62;97673.23;111096.66;195634.78;8469;49696.69;0;0;0;0;6818.35;71.44;0;0;383873.73;255694.73
M; 0 t/m  4 jaar;APPINGEDAM;242;225.24;376563.09;15943.73;0;13457.43;7695.26;4134.14;21690.89;7224.24;8064.54;13566.48;4859.4;5635.36;8664.68;0;0;0;0;0;14.57;0;0;154912.99;31453.42
