geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_overig
;;;440964;220483.48;68628421.75;11539474.66;17171331.15;4773979.18;2013975.55;1064415.91;4852939.67;2836748.03;1646354.97;749787.46;533019.29;149664.68;3253373.1;1040570.45;1053196.67;606929.23;900381.3;30520586.09;0;1752536.99;1408247.57;3358815.32;1064817.56
M; 0 t/m  4 jaar;AA EN HUNZE;495;447.85;653710.34;40315.38;0;28360.75;14658.54;4873.84;39798.53;5617.38;17192.52;21543.57;13329.97;0;5097.1;0;0;0;0;134.87;0;0;0;12511.92;856.9
M; 0 t/m  4 jaar;AALSMEER;748;676.1;759200.88;62811.69;0;42143.66;23101.6;6100.35;58093.76;12746.86;24117.04;16855.92;17742.18;0;9871.18;0;0;0;0;3759.36;0;0;0;65391.84;45946.18
M; 0 t/m  4 jaar;AALTEN;621;555.14;617606.72;154334.75;0;34737.75;18950.33;667.62;42610.46;11433.91;14913.74;25037.34;27541.59;3466;4544.56;0;0;0;0;0;0;0;0;4167.68;3132.38
M; 0 t/m  4 jaar;ACHTKARSPELEN;732;652.79;1015314.79;56002.1;0;38850.65;19050.43;38.11;61290.9;11174.88;19989.29;13230.49;39095.2;899.82;23671.12;0;0;0;0;638.33;0;0;0;6324.28;20924.73
M; 0 t/m  4 jaar;ALBLASSERDAM;599;540.72;1101412.8;102360.38;0;33805.55;17305.13;579.69;37335.48;30013;18110.19;31183.01;22825.04;2129.84;16400.04;0;0;0;0;2818.3;0;0;0;23002.26;60080.66
M; 0 t/m  4 jaar;ALBRANDSWAARD;667;607.2;668495.36;55966.65;0;37219.25;18765.51;349.02;50230.72;15794.54;17734.72;10937.63;36049.83;89;7860.78;0;0;0;0;432.67;0;0;0;824.58;35159.43
M; 0 t/m  4 jaar;ALKMAAR;2793;2473.26;3450049.36;290558.38;0;156337.35;78334.69;413.96;198928.2;50090.51;78685.85;85942.33;96536.1;15529.47;59686.36;0;0;0;0;9510.43;0;0;0;45310.34;245342.61
M; 0 t/m  4 jaar;ALMELO;1777;1604.17;2409013.01;261029.99;0;103665.28;56775.03;13970.19;209786.12;51964.35;47349.41;69543.29;135585.85;7561.3;32860.53;0;0;0;0;3417.45;0;0;0;290206.11;285582.59
M; 0 t/m  4 jaar;ALMERE;6527;5793.88;10031007.49;577116.45;0;361830.38;216572.61;86780.98;587216.84;192782.36;237845.02;135319.96;347217.44;12288.78;182493.62;0;0;0;0;26278.7;0;0;0;189317.82;1158997.42
