geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_overig
M; 0 t/m  4 jaar;AA EN HUNZE;500;448.46;412880.74;40747.66;0;29465.04;12945.7;5105.69;39984.63;9116.59;11433.44;16848.5;19622.31;333.66;3697.25;0;0;0;0;53492.94;0;0;0;7740.28;0;11042.19
M; 0 t/m  4 jaar;AALSMEER;758;671.02;892077.75;87819.43;0;43934.67;18678.06;9745.11;68637.04;14239.23;27236.69;24657.83;17859.95;0;12504.03;0;0;0;0;508.62;0;0;0;3682.03;0;44280.14
M; 0 t/m  4 jaar;AALTEN;623;555.89;1111625.62;211252.05;0;35883.83;16353.09;905.06;39414.29;8143.82;11285.5;30848.6;34083.29;10411.46;14455.47;0;0;0;0;106.83;0;0;0;11239.31;0;54436.49
M; 0 t/m  4 jaar;ACHTKARSPELEN;720;651.58;756565.15;57172.13;0;40395.3;17354.62;43.67;61302.36;32095.62;18745.15;12846.98;48712.84;552.28;15941.2;0;0;0;0;379.8;0;0;0;31922.19;0;76593.74
M; 0 t/m  4 jaar;ALBLASSERDAM;580;530.45;791232.76;81951.92;0;35742.97;15450.06;2967.54;35578.77;23924.45;11325.83;24686.03;16299.27;1007;13473.99;0;0;0;0;787.23;0;0;0;19208.98;0;49486.84
M; 0 t/m  4 jaar;ALBRANDSWAARD;655;591.37;630210.44;51207.68;0;38238.36;15464.21;973.8;42952.12;5660.78;13419.33;14517.18;37503.25;0;6957.15;0;0;0;0;200.05;0;0;0;2531.55;0;11300.88
M; 0 t/m  4 jaar;ALKMAAR;2754;2474.4;2893770.86;378157.63;0;169862.9;63434.56;1052.93;160514.16;29625.09;70154.95;100284.7;107777.91;6454.16;31384.37;0;0;0;0;6001.28;0;0;0;19042.38;0;345527.69
M; 0 t/m  4 jaar;ALMELO;1740;1559.96;2274233.39;173974.53;0;104835.95;46149.21;15622.91;170445.83;34886.7;46384.76;51473.29;123885.8;2365.1;20746.7;0;0;0;0;2630.19;0;0;0;142178.77;0;284325.22
M; 0 t/m  4 jaar;ALMERE;6580;5860.99;8848288.23;521675.57;0;392915.31;185144.66;102265.83;560970.77;188826.39;190459;124145.29;368281.01;34727.73;121640.64;0;0;0;0;14792.07;0;0;0;216448.54;0;1555300.01
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2878;2579.67;3524654.73;228204.3;0;177751.5;65352.71;57881.29;281783.59;93137.25;77452.96;105141.04;132943.59;3341.71;38012.05;0;0;0;0;5270.29;0;0;0;49830.76;0;390463.99
