geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig
M; 0 t/m  4 jaar;AA EN HUNZE;527;476.71;557628.17;45156.62;0;31239.71;18715.38;6257.31;52770.96;9554.44;19160.88;10491.5;23885.95;2118.64;11027.49;0;0;0;0;31.37;0;0;0;2605.92;0;0;0;36079.43
M; 0 t/m  4 jaar;AALSMEER;756;673.46;898512.16;60783.45;0;44834.53;29631.47;7267.48;94072.7;22700.88;18695.43;18895.38;25114.86;1263.84;16294.59;0;0;0;0;4090.76;0;0;0;17749.74;0;0;0;69719.76
M; 0 t/m  4 jaar;AALTEN;595;538.72;648270.61;176971;0;36843.15;22856.45;536.53;53368.11;5162.39;12746.63;30960.46;37509.11;6073.55;8089.91;0;0;0;0;0;0;0;0;1667.16;0;0;0;43788.82
M; 0 t/m  4 jaar;ACHTKARSPELEN;715;639.57;1051210.4;37971.79;0;41654.9;19651.67;108.67;63966.36;27423.03;19581.37;13714.17;45342.07;3551.52;14523.48;0;0;0;0;14991.94;0;0;0;41862.93;0;0;0;47754.2
M; 0 t/m  4 jaar;ALBLASSERDAM;582;516.46;853851.05;67550.87;0;34927.94;21049.46;2746.59;42167.34;13825.8;14017.99;24025.86;11636.73;807.2;11027.9;0;0;0;0;4479.73;0;0;0;16176.2;0;0;98.93;46060.62
M; 0 t/m  4 jaar;ALBRANDSWAARD;659;594.53;1424174.83;71582.19;0;39313.31;21742.03;2665.46;57791.94;11524.39;16665.21;18698.97;37454.73;0;13795.15;0;0;0;0;1346.58;0;0;0;4401.58;0;0;359.11;7651.9
M; 0 t/m  4 jaar;ALKMAAR;2787;2484.34;3331292.8;200168.27;0;169880.45;84050.26;836.89;236138.69;45210.68;96249.47;91624.11;121332.26;10243.86;54120.16;0;0;0;0;4498.53;0;0;0;61765.24;0;0;466.11;486530.79
M; 0 t/m  4 jaar;ALMELO;1715;1545.3;2247249.98;156018.45;0;107915.12;62346.82;16208.21;197578.37;61216.14;59739.95;67625.24;161780.75;3746.18;27517.59;0;0;0;0;1322.21;0;0;0;422134.77;239.76;0;60.64;377817.39
M; 0 t/m  4 jaar;ALMERE;6758;6016.67;9348742.54;529652.13;0;400390.57;254496.74;117415.75;665888.35;174567.93;219439.81;124240.63;416363.98;12501.5;169697;0;0;0;0;34359.57;0;0;0;176260.13;0;0;518.36;1125990.17
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2893;2570.28;3472124.35;287690.23;0;171400.44;85180.86;41094.93;348743.01;72918.33;91677.33;115310.43;144427.52;3892.71;52466.95;0;0;0;0;5629.05;0;0;0;70725.4;237.24;0;280.76;457096.77
M; 0 t/m  4 jaar;ALPHEN-CHAAM;257;225.34;351832.34;12655.98;0;14570.52;8817.19;87.84;18086.84;1457.87;12855.98;4341.28;14601.7;28251.61;4321.31;0;0;0;0;0;0;0;0;0;0;0;0;180603.09
M; 0 t/m  4 jaar;ALTENA;1549;1382.22;1993001.72;90580.91;0;91473.71;49606.11;62426.02;100550.13;13405.08;48020.29;55788.38;107752.74;32745.49;35283.23;0;0;0;0;4240.34;0;0;0;15132.24;0;0;137.78;277105.92
M; 0 t/m  4 jaar;AMELAND;85;72.62;42394.04;2347.76;0;4855.82;1844.83;0;7940.77;59.97;1622.11;811.33;1585.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356.32
M; 0 t/m  4 jaar;AMERSFOORT;4488;3963.35;5209054.69;378442.19;0;263243.46;151167.63;15534.07;472748.68;82841.74;138373.5;136007.35;306329.21;5858.87;63966.78;0;0;0;0;12671.21;0;0;0;636661.75;0;0;1178.45;871565.82
M; 0 t/m  4 jaar;AMSTELVEEN;2238;1925.64;2673360.06;152086.04;0;124221.77;70091.85;32710.66;271021.88;61972.07;70248.39;80500;123484.54;6876.89;31352.63;0;0;0;0;14261.32;0;0;0;290940.79;0;0;200.23;326032.34
M; 0 t/m  4 jaar;AMSTERDAM;23438;20273.22;30567480.39;1843777.55;0;1366308.76;801214.82;168237.96;2432133.27;496062.9;846931.09;577632.04;1338341.94;46885.62;569587.83;0;0;0;0;254740.61;0;0;0;1021719.43;0;0;1054.03;3186006.29
M; 0 t/m  4 jaar;APELDOORN;4054;3585.57;7479942.94;389208.78;0;246228.59;116080.67;4043.23;371774.26;118160.11;94880.53;131903.37;250550.27;8153.93;73788.05;0;0;0;0;10259.55;0;0;0;177011.32;924.71;0;348.85;402111.54
M; 0 t/m  4 jaar;ARNHEM;4014;3559.44;6584621.5;565556.9;0;216304.14;121148.53;56020.58;537967.95;95804.91;119780.87;149947.49;307307.1;18770.62;95738.26;0;0;0;0;12969.51;0;0;0;192339.16;0;0;340.25;754686.58
M; 0 t/m  4 jaar;ASSEN;1604;1436.67;2052357.79;132684.53;0;97779.12;53509.12;21434.93;182309.32;34191.6;42506.44;74807.23;118804.59;6667.68;21441.98;0;0;0;0;258.64;0;0;0;259197.03;0;0;0;129004.07
M; 0 t/m  4 jaar;ASTEN;409;363.98;574710.51;33245.54;0;24197.22;18771.57;69.13;27196.83;20292.81;13605.34;28694.78;24850.28;1631.04;15360.34;0;0;0;0;392.8;0;0;0;18291.21;0;0;0;32860.27
M; 0 t/m  4 jaar;BAARLE-NASSAU;153;132.58;132587.46;9094.63;0;8741.78;5419.92;58.3;11212.53;2095.21;11771.43;3164.53;5877.43;640.8;809.95;0;0;0;0;59;0;0;0;0;0;0;0;35855.45
M; 0 t/m  4 jaar;BAARN;614;550.85;974331.12;63576.57;0;36350.54;18001.99;334.13;56658.83;23193.01;12946.96;18087.28;20276.43;1121.44;9930.89;0;0;0;0;1798.02;0;0;0;11092.08;0;0;0;44169.81
M; 0 t/m  4 jaar;BARENDRECHT;1226;1096.72;1759299.41;176419.29;0;72795.57;37414.65;4086.32;117527.87;28373.63;31919.25;29472.35;104397.92;13222.52;25023.07;0;0;0;0;4683.44;0;0;0;62465.21;0;0;445.67;173610.9
M; 0 t/m  4 jaar;BARNEVELD;2211;1973.93;3004270.57;179449.74;0;130237.92;68602.89;3201.94;169469.63;39692.9;71102.36;87637.28;78917.98;19877.87;34268.19;0;0;0;0;5584.07;0;0;0;192107.04;0;0;66.37;164494.28
M; 0 t/m  4 jaar;BEEK;314;280.07;432109.09;27557.47;0;18639.64;11078.82;141.34;31244.86;13891.1;6600.88;8483.88;23489.74;9004.43;6317.58;0;0;0;0;59550.91;0;0;0;0;0;0;0;34043.88
M; 0 t/m  4 jaar;BEEKDAELEN;735;659.52;872272.44;68752.31;0;43300.94;28178.35;1033.37;64435.42;10466.52;19646.34;31182.37;69431.39;1536.48;13640.95;0;0;0;0;1801.25;0;0;0;3363.6;0;0;0;177965.13
M; 0 t/m  4 jaar;BEESEL;272;248.69;367219.07;32529.93;0;16468.99;9924.82;1280.2;25806.34;4242.2;8398.45;11050.06;37329.45;5465.44;5179.3;0;0;0;0;75;0;0;0;2621.44;0;0;0;124422.97
M; 0 t/m  4 jaar;BERG EN DAL;727;633.15;1030594.38;65763.19;0;42211.5;23931.1;1062.16;62916.12;11158.91;18513.99;34547.47;58734.02;414.24;19893.35;0;0;0;0;313.25;0;0;0;9991.92;0;0;154.37;90180.21
M; 0 t/m  4 jaar;BERGEIJK;440;387.87;824140.94;37469.01;0;25727.94;16553.87;1116.14;31050.65;3801.26;8298.56;17477.44;27773.38;13508.9;14173.92;0;0;0;0;652.15;0;0;0;2339.55;0;0;0;84228.8
M; 0 t/m  4 jaar;BERGEN LB;256;225.44;251572.51;33275.88;0;14244.12;2563.45;17976.12;26634.61;8770.13;10293.79;12384.1;12611.58;4766.32;2597.54;0;0;0;0;0;0;0;0;952.32;0;0;0;34924.3
