geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
M; 0 t/m  4 jaar;AA EN HUNZE;535;483.25;846883.93;47913.57;33492.82;20698.58;8520.77;53410.35;11085.4;19848.26;16571.7;24547.35;2823.96;7737.6;0;0;242.67;0;0;0;11498;0;0;0;40577.66;0;0;0
M; 0 t/m  4 jaar;AALSMEER;754;686.64;1038877.02;48695.27;45858.11;27636.68;10807.56;73662.42;39198.25;23063.17;20786.28;22639.94;2355;12535.69;0;0;3251.66;0;0;0;131296.02;0;0;84.18;56143.16;0;0;0
M; 0 t/m  4 jaar;AALTEN;638;562.88;772421.63;219226.96;38296.91;24181.97;721.05;49449.05;8850.85;16973.86;32785.27;42018;4703.37;5912.58;0;0;540.08;0;0;0;2662.55;0;0;144.88;78848.34;0;0;0
M; 0 t/m  4 jaar;ACHTKARSPELEN;704;629.26;1150942.5;49906.31;42817.26;23046.4;3724.53;72748.97;33422.26;20542.92;19423.95;56690.03;7233.3;21234.08;0;0;959.76;0;0;0;40923.48;0;0;0;84747.86;0;0;0
M; 0 t/m  4 jaar;ALBLASSERDAM;581;516.24;884487.14;62972.23;34455.55;24395.12;4216.74;49349.58;30648.25;13636.07;24215.46;19587.69;3251;10882.18;0;0;773.82;0;0;0;38568.31;0;0;0;29836.5;0;0;0
M; 0 t/m  4 jaar;ALBRANDSWAARD;648;577.05;976884.44;75887.41;38435.81;23014.34;9882.48;62120.07;7676.1;17671.7;14027.78;38094.8;0;15149.2;0;0;1480.99;0;0;0;10736.69;0;0;102.47;46810.18;0;0;0
M; 0 t/m  4 jaar;ALKMAAR;2730;2447.46;3860052.89;231991.86;168781.66;92013.38;1177.28;246059.79;67439.56;107140.33;102759.08;110767.68;68515.01;62852.48;0;0;6619.17;0;0;0;177957.54;0;0;696.96;363958.27;0;0;0
M; 0 t/m  4 jaar;ALMELO;1757;1569.67;2840927.88;164128.44;110674.28;66599.86;16425.32;212541.29;39728.16;59471.95;71726.15;192160.1;2069.26;42591.1;0;0;12269.92;0;0;0;244566.97;0;0;167.33;397588;0;0;0
M; 0 t/m  4 jaar;ALMERE;6928;6159.33;10181000.42;522633.71;419674.43;269741.15;139679.2;738478.07;183512.08;232150.85;121786.45;339946.47;63367.44;161002.3;0;0;245452.87;0;0;0;60843.11;0;0;556.37;1399119.18;0;0;0
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2870;2574.23;3670459.66;305886.85;173716.66;99177.5;41691.3;343049.88;62160.95;90067.13;91323.13;176084.74;471.4;61027.78;0;0;5186.96;0;0;0;42420.8;0;0;408.07;271983.9;0;0;0
M; 0 t/m  4 jaar;ALPHEN-CHAAM;255;231.95;351011.63;25132.81;15610.73;9969.26;95.98;19615.68;1797.76;8928.58;6952.96;19784.68;1877.16;7631.02;0;0;8687.86;0;0;0;0;0;0;0;42374.06;0;0;0
M; 0 t/m  4 jaar;ALTENA;1535;1390.7;1831701.33;115490.61;94087.8;50622;63194.11;107719.17;19055.1;40573.04;64511.65;98558.92;14899.39;29726.75;0;0;1993.12;0;0;0;27190.14;0;0;0;266514.26;0;0;0
M; 0 t/m  4 jaar;AMELAND;84;74.39;64720.44;2116.53;5060.88;2147.35;509.85;10665.19;1720.2;1285.73;1256.64;1713.83;0;2804.96;0;0;346.5;0;0;0;477.51;0;0;0;278.53;0;0;0
M; 0 t/m  4 jaar;AMERSFOORT;4535;4049.83;6329529.53;399875.23;270614.29;167512.88;65980.85;484300.14;105026.23;139830.78;121663.03;317110.83;11357;93237.18;0;0;37132.55;0;0;0;492888.45;0;0;1449.97;844877.78;0;0;0
M; 0 t/m  4 jaar;AMSTELVEEN;2237;1930.48;2125668.29;141208.1;124246.63;78155.41;32613.06;235305.23;38131.1;79769.07;69319.29;108237.55;24704.09;38379.92;0;0;25924.24;0;0;0;122616.81;0;0;51.66;279240.07;0;0;0
M; 0 t/m  4 jaar;AMSTERDAM;22709;19725.41;31228186.03;1618413.84;1360291.64;835364.12;190038.42;2322340.84;509769;872517.52;626820.04;1355201.56;44318.59;546406.46;0;0;283845.45;0;0;0;876241.54;0;0;577.57;2952008.68;0;0;0
M; 0 t/m  4 jaar;APELDOORN;4056;3643.18;6695510.65;445690.5;251304.18;138261.36;7290.92;396466.32;118128.54;102941.28;135574.67;253044.3;7502.62;90163.34;0;0;10009.61;0;0;0;88364.43;1704.99;0;286.49;311934.57;0;0;0
M; 0 t/m  4 jaar;ARNHEM;4058;3601.28;6126699.42;544959.69;218068.62;142613.44;63534.44;606234.51;85856.41;126191.89;157181.95;341391.72;14546.33;86268.18;0;0;35049.41;0;0;0;141071.76;327.84;0;78.12;576745.26;0;0;0
