geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_z;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysioth;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiez;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
V; 5 t/m  9 jaar;AMERSFOORT;4361;4331.92;1993077.92;321453.33;324320.16;112567.49;90834.26;330502.14;133320.18;802215.31;95713.96;624176.93;6676.52;13046.81;0;0;5701.64;0;0;0;308714.33;0;0;0;222796.62;0;0;0
V;10 t/m 14 jaar;OOST GELRE;749;742.98;212622.21;36365.89;55490.34;17453.58;9359.63;40696.29;34310.67;189190.36;41203.68;25046.79;0;3189.04;0;0;1099.43;0;0;0;0;0;0;0;9088.73;0;0;0
V;10 t/m 14 jaar;OOSTERHOUT;1498;1487.53;598245.35;82667.47;113762.71;39852.67;25524.37;60438.2;53450.85;309260.83;88869.47;26446.71;0;6962.66;0;0;2806.82;0;0;0;6577.83;0;0;0;27837.98;0;0;0
V;10 t/m 14 jaar;OOSTSTELLINGWERF;647;643.94;296500.62;38004.44;48648.18;16924.25;13611.31;35866.44;38416.84;98746;32716.34;12593.34;322.86;955.86;0;433.79;4840.87;0;0;0;1306.4;0;0;0;6293.08;0;0;0
V;10 t/m 14 jaar;OOSTZAAN;245;244.07;63902.89;8518.97;18259.37;6162.9;4042.8;17090.64;842.54;66513.11;12291.22;9157.45;0;878.58;0;0;113.86;0;0;0;0;0;0;0;3284.54;0;0;0
V;10 t/m 14 jaar;OPMEER;277;276.57;66601.02;59599.72;20711.04;7319.38;3262.79;16034.48;4515.2;71901.98;8863.67;4486;0;0;0;0;971.91;0;0;0;2510.56;0;0;0;14661.35;0;0;0
V;10 t/m 14 jaar;OPSTERLAND;817;814.27;452286.15;66889.32;61222.18;18028.58;13666.32;48953.34;51144.72;133817.38;52909.14;14088.86;0;5748.17;0;0;620.5;0;0;0;27772.5;0;0;0;17592.36;0;0;0
V;10 t/m 14 jaar;OSS;2316;2294.04;1303427.61;217924.29;175351.2;69570.78;20971.28;127348.89;77972.07;499517.18;116287.79;126048.73;8348.37;20730.85;0;346.89;27949.87;0;0;0;13896.68;521.28;0;0;64136.54;0;0;0
V;10 t/m 14 jaar;OUDE IJSSELSTREEK;926;920.52;427378.53;64943.62;69934.32;24059.18;6198.62;57304.55;68333.44;206039.08;38329.62;39087.81;0;941.37;0;0;3054.29;0;0;0;3143.96;0;0;0;27826.24;0;0;0
V;10 t/m 14 jaar;OUDER-AMSTEL;384;377.27;120786.35;20955.34;28870.36;10208.32;11458.94;28084.57;11446.68;83357.82;11910.11;4875.25;0;946.2;0;0;1081.9;0;0;0;1017.9;0;0;0;1849.75;0;0;0
V;10 t/m 14 jaar;OUDEWATER;297;294.02;62062.88;10783.62;21949.2;6887.89;2488.89;16207.56;1686.25;54935.33;16612.85;6391.11;0;1834.44;0;0;2679.89;0;0;0;0;0;0;0;875.76;0;0;0
V;10 t/m 14 jaar;OVERBETUWE;1416;1411.48;706528.13;69853.98;105559.71;36689.72;31304.93;82992.93;35173.2;284296.51;55163.25;37136.28;0;15605.27;0;0;1568.81;0;0;0;0;0;0;0;14236.32;0;0;0
V;10 t/m 14 jaar;PAPENDRECHT;871;866.06;398887.67;69651.52;65565.15;26965.73;9443.61;37582.01;9195.42;157036.17;32846.99;20748.17;0;3644.64;0;0;179.5;0;0;0;11070.38;0;0;0;7712.48;0;0;0
V;10 t/m 14 jaar;PEEL EN MAAS;1087;1079.93;646359.61;213110.74;80392.28;36288.73;16807.24;40367.47;69082.93;200558.11;50367.17;44706.29;492.49;6914.59;0;0;1272.12;0;0;0;2714.13;0;0;0;25872.96;0;0;0
V;10 t/m 14 jaar;PEKELA;337;332.16;89749.82;12666.13;24876.87;9351.14;3813.19;23484.4;12878.17;51435.97;18833.32;14176.34;0;1940.7;0;0;0;0;0;0;0;0;0;0;2995.92;0;0;0
V;10 t/m 14 jaar;PIJNACKER-NOOTDORP;1925;1908.9;654845.66;315332.2;141785.48;8418.52;9136.6;208818.83;52077.55;464869.37;84168.99;31164.92;0;6349.48;0;0;15333.37;0;0;0;22987.33;0;0;0;18684.32;0;0;0
V;10 t/m 14 jaar;PURMEREND;2382;2352.86;1075567;141588.38;180374.33;65640.01;38411.66;150947.48;114503.64;613144.43;88439.87;65934.43;2614.45;26977.99;0;0;7548.02;0;0;0;2489.14;0;0;0;66989.53;0;0;0
V;10 t/m 14 jaar;PUTTEN;691;685.2;309485.48;223431.75;51381.25;16428.37;28041.09;28846.97;44370.74;149181.29;36904.67;26025.69;0;2621.25;0;0;43.03;0;0;0;9087.54;0;0;0;5716.53;0;0;0
V;10 t/m 14 jaar;RAALTE;956;950.85;245539.52;48204.95;71981.72;20766.95;4217.35;56860.83;30520.55;193431.66;78615.11;44165.09;0;3755.82;0;0;429.7;0;0;0;26778.39;0;0;0;7424.24;0;0;0
V;10 t/m 14 jaar;REIMERSWAAL;729;725.22;520167.23;39892.33;54270.29;15140.04;9084.54;37734.59;39099.95;110637.38;33160.88;17062.71;14266.48;6746.02;0;0;2574.66;0;0;0;3670.93;0;0;0;21275.62;0;0;0
V;10 t/m 14 jaar;RENKUM;790;785.51;420264;52682.43;59241.92;21171.05;12382.81;45592.8;51818.64;162116.12;28196.19;14834.63;0;878.58;0;0;610.56;0;0;0;0;0;0;0;6878.84;0;0;0
V;10 t/m 14 jaar;RENSWOUDE;182;181.28;120562.96;20353.69;13507.2;3613.11;1850.69;8559.89;8915.34;47033.77;12353.06;3422.62;0;1023.48;0;0;0;0;0;0;0;0;0;0;1088.67;0;0;0
V;10 t/m 14 jaar;REUSEL-DE MIERDEN;366;364.2;100820.11;15176.47;27001.53;11307.62;4023.67;16556.37;1921.88;83989.96;28561.34;10291.61;0;2582.61;0;0;1410.17;0;0;0;0;0;0;0;1862.13;0;0;0
V;10 t/m 14 jaar;RHEDEN;1060;1049.57;422761.6;130973.97;81753.37;26401.68;26817.06;61963.07;29693.08;245123.03;45637.93;53238.42;0;4174.07;0;0;515.67;0;0;0;17982.22;0;0;0;19335.62;0;0;0
V;10 t/m 14 jaar;RHENEN;539;538.84;128657.84;28965.95;40745.21;12383.41;4308.36;29718.3;30889.64;96282.38;12947.41;9148.07;0;1979.34;0;0;1030.48;0;0;0;0;0;0;0;3492.41;0;0;0
V;10 t/m 14 jaar;RIDDERKERK;1240;1229.86;479573.02;94783.71;93626;31539.43;12982.95;73599.74;44367.95;295304.33;56577.78;28041.54;899.35;3990.53;0;0;4933.81;0;0;0;2260.08;0;0;0;46407.77;0;0;0
V;10 t/m 14 jaar;RIJSSEN-HOLTEN;1250;1242.6;902782.57;80007.8;93451.65;33780.73;14218.41;71976.88;47697.6;262230.13;101531.01;45701.07;3757.86;3311.94;0;0;111.5;0;0;0;57714.22;0;0;0;27546.4;0;0;0
